2025-02-20 19:24:05,604 - src.utils.logger - ERROR - Error loading knowledge graph: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<string>, line 1)
2025-02-20 19:24:05,604 - src.utils.logger - ERROR - Error setting up training environment: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<string>, line 1)
2025-02-20 19:24:05,605 - src.utils.logger - ERROR - Training error: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<string>, line 1)
2025-02-20 19:24:56,072 - src.utils.logger - ERROR - Error setting up training environment: Couldn't connect to localhost:7687 (resolved to ('127.0.0.1:7687', '[::1]:7687')):
Failed to establish connection to ResolvedIPv4Address(('127.0.0.1', 7687)) (reason [Errno 111] Connection refused)
2025-02-20 19:33:07,886 - src.utils.logger - INFO - Feature vector dimension: 7
2025-02-20 19:33:07,888 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:33:07,889 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:33:09,432 - src.utils.logger - INFO - Training environment setup completed successfully
2025-02-20 19:33:09,433 - src.utils.logger - INFO - Beginning training loop with 100 episodes...
2025-02-20 19:33:10,584 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:33:10,585 - src.utils.logger - ERROR - Training error: expected sequence of length 7 at dim 1 (got 10)
2025-02-20 19:36:05,047 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:36:05,047 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:36:05,047 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:36:05,083 - src.utils.logger - INFO - Retrieved 2 threat patterns and 298 attack techniques
2025-02-20 19:36:05,083 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:36:05,089 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:36:05,101 - src.utils.logger - INFO - Creating feature vector...
2025-02-20 19:36:05,105 - src.utils.logger - INFO - Feature vector dimension: 7
2025-02-20 19:36:05,105 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:36:05,105 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:36:06,224 - src.utils.logger - INFO - Training environment setup completed successfully
2025-02-20 19:36:06,224 - src.utils.logger - INFO - Beginning training loop with 100 episodes...
2025-02-20 19:36:07,644 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:36:07,648 - src.utils.logger - ERROR - Training error: mat1 and mat2 shapes cannot be multiplied (1x10 and 7x128)
2025-02-20 19:36:39,024 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:36:39,025 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:36:39,025 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:36:39,062 - src.utils.logger - INFO - Retrieved 2 threat patterns and 298 attack techniques
2025-02-20 19:36:39,062 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:36:39,068 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:36:39,088 - src.utils.logger - INFO - Creating feature vector...
2025-02-20 19:36:39,092 - src.utils.logger - INFO - Feature vector dimension: 7
2025-02-20 19:36:39,092 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:36:39,092 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:36:40,381 - src.utils.logger - INFO - Training environment setup completed successfully
2025-02-20 19:36:40,381 - src.utils.logger - INFO - Beginning training loop with 100 episodes...
2025-02-20 19:36:43,205 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:36:43,212 - src.utils.logger - ERROR - Error normalizing state: X has 10 features, but StandardScaler is expecting 7 features as input.
2025-02-20 19:36:43,213 - src.utils.logger - ERROR - Training error: expected sequence of length 7 at dim 1 (got 10)
2025-02-20 19:37:32,691 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:37:32,691 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:37:32,691 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:37:32,729 - src.utils.logger - INFO - Retrieved 2 threat patterns and 298 attack techniques
2025-02-20 19:37:32,729 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:37:32,735 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:37:32,747 - src.utils.logger - INFO - Creating feature vector...
2025-02-20 19:37:32,751 - src.utils.logger - INFO - Feature vector dimension: 8
2025-02-20 19:37:32,751 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:37:32,752 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:37:33,757 - src.utils.logger - INFO - Training environment setup completed successfully
2025-02-20 19:37:33,757 - src.utils.logger - INFO - Beginning training loop with 100 episodes...
2025-02-20 19:37:35,847 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:37:35,858 - src.utils.logger - ERROR - Error normalizing state: X has 7 features, but StandardScaler is expecting 8 features as input.
2025-02-20 19:37:35,864 - src.utils.logger - ERROR - Training error: mat1 and mat2 shapes cannot be multiplied (1x7 and 8x128)
2025-02-20 19:38:44,322 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:38:44,323 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:38:44,323 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:38:44,360 - src.utils.logger - INFO - Retrieved 2 threat patterns and 298 attack techniques
2025-02-20 19:38:44,360 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:38:44,366 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:38:44,383 - src.utils.logger - INFO - Creating feature vector...
2025-02-20 19:38:44,387 - src.utils.logger - INFO - Feature vector dimension: 8
2025-02-20 19:38:44,387 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:38:44,387 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:38:45,505 - src.utils.logger - INFO - Training environment setup completed successfully
2025-02-20 19:38:45,505 - src.utils.logger - INFO - Beginning training loop with 100 episodes...
2025-02-20 19:38:46,812 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:38:48,516 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:38:50,148 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:38:54,731 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:38:54,731 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:38:54,731 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:38:54,769 - src.utils.logger - INFO - Retrieved 2 threat patterns and 298 attack techniques
2025-02-20 19:38:54,770 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:38:54,775 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:38:54,790 - src.utils.logger - INFO - Creating feature vector...
2025-02-20 19:38:54,794 - src.utils.logger - INFO - Feature vector dimension: 8
2025-02-20 19:38:54,794 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:38:54,795 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:38:55,811 - src.utils.logger - INFO - Training environment setup completed successfully
2025-02-20 19:38:55,811 - src.utils.logger - INFO - Beginning training loop with 100 episodes...
2025-02-20 19:38:57,123 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:38:58,992 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:00,777 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:02,592 - src.utils.logger - INFO - Episode 1/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:39:02,593 - src.utils.logger - INFO - Updated target network at episode 1
2025-02-20 19:39:04,194 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:06,275 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:13,639 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:23,390 - src.utils.logger - INFO - Episode 2/100 - Reward: 1.61 - Epsilon: 0.010
2025-02-20 19:39:27,545 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:33,969 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:37,684 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:39,549 - src.utils.logger - INFO - Episode 3/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:39:41,549 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:44,121 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:45,039 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:46,198 - src.utils.logger - INFO - Episode 4/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:39:47,184 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:48,193 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:49,079 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:50,006 - src.utils.logger - INFO - Episode 5/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:39:50,860 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:52,138 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:53,383 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:54,269 - src.utils.logger - INFO - Episode 6/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:39:55,128 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:55,925 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:57,216 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:39:58,326 - src.utils.logger - INFO - Episode 7/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:39:59,239 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:00,189 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:01,074 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:01,907 - src.utils.logger - INFO - Episode 8/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:40:03,283 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:04,255 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:05,487 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:06,421 - src.utils.logger - INFO - Episode 9/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:40:07,314 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:08,316 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:09,545 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:10,453 - src.utils.logger - INFO - Episode 10/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:40:11,646 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:12,638 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:13,923 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:17,055 - src.utils.logger - INFO - Episode 11/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:40:17,056 - src.utils.logger - INFO - Updated target network at episode 11
2025-02-20 19:40:18,244 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:19,842 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:22,343 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:26,293 - src.utils.logger - INFO - Episode 12/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:40:28,667 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:31,671 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:38,024 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:40,331 - src.utils.logger - INFO - Episode 13/100 - Reward: nan - Epsilon: 0.010
2025-02-20 19:40:42,528 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:46,201 - src.utils.logger - ERROR - Error normalizing state: Input X contains infinity or a value too large for dtype('float64').
2025-02-20 19:40:55,760 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:40:55,761 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:40:55,761 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:40:55,796 - src.utils.logger - INFO - Retrieved 2 threat patterns and 298 attack techniques
2025-02-20 19:40:55,796 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:40:55,802 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:40:55,816 - src.utils.logger - INFO - Creating feature vector...
2025-02-20 19:40:55,820 - src.utils.logger - INFO - Feature vector dimension: 8
2025-02-20 19:40:55,820 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:40:55,820 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:40:59,119 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:40:59,119 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:40:59,119 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:40:59,161 - src.utils.logger - INFO - Retrieved 2 threat patterns and 298 attack techniques
2025-02-20 19:40:59,161 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:40:59,167 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:40:59,180 - src.utils.logger - INFO - Creating feature vector...
2025-02-20 19:40:59,183 - src.utils.logger - INFO - Feature vector dimension: 8
2025-02-20 19:40:59,183 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:40:59,184 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:41:00,198 - src.utils.logger - INFO - Training environment setup completed successfully
2025-02-20 19:41:00,198 - src.utils.logger - INFO - Beginning training loop with 100 episodes...
2025-02-20 19:41:04,898 - src.utils.logger - INFO - Episode 1/100 - Reward: -128.66 - Epsilon: 0.010
2025-02-20 19:41:04,901 - src.utils.logger - INFO - Updated target network at episode 1
2025-02-20 19:41:09,139 - src.utils.logger - INFO - Episode 2/100 - Reward: 374.68 - Epsilon: 0.010
2025-02-20 19:41:12,696 - src.utils.logger - INFO - Episode 3/100 - Reward: -97.10 - Epsilon: 0.010
2025-02-20 19:41:16,022 - src.utils.logger - INFO - Episode 4/100 - Reward: -253.81 - Epsilon: 0.010
2025-02-20 19:41:19,569 - src.utils.logger - INFO - Episode 5/100 - Reward: -138.84 - Epsilon: 0.010
2025-02-20 19:41:23,090 - src.utils.logger - INFO - Episode 6/100 - Reward: 379.17 - Epsilon: 0.010
2025-02-20 19:41:26,636 - src.utils.logger - INFO - Episode 7/100 - Reward: -124.37 - Epsilon: 0.010
2025-02-20 19:41:30,615 - src.utils.logger - INFO - Episode 8/100 - Reward: -85.18 - Epsilon: 0.010
2025-02-20 19:41:34,186 - src.utils.logger - INFO - Episode 9/100 - Reward: -119.80 - Epsilon: 0.010
2025-02-20 19:41:38,537 - src.utils.logger - INFO - Episode 10/100 - Reward: -118.14 - Epsilon: 0.010
2025-02-20 19:41:45,386 - src.utils.logger - INFO - Episode 11/100 - Reward: -109.10 - Epsilon: 0.010
2025-02-20 19:41:45,388 - src.utils.logger - INFO - Updated target network at episode 11
2025-02-20 19:41:50,581 - src.utils.logger - INFO - Episode 12/100 - Reward: -120.23 - Epsilon: 0.010
2025-02-20 19:41:55,828 - src.utils.logger - INFO - Episode 13/100 - Reward: -91.41 - Epsilon: 0.010
2025-02-20 19:42:01,309 - src.utils.logger - INFO - Episode 14/100 - Reward: -62.94 - Epsilon: 0.010
2025-02-20 19:42:05,632 - src.utils.logger - INFO - Episode 15/100 - Reward: -111.32 - Epsilon: 0.010
2025-02-20 19:42:11,863 - src.utils.logger - INFO - Episode 16/100 - Reward: -122.44 - Epsilon: 0.010
2025-02-20 19:42:18,652 - src.utils.logger - INFO - Episode 17/100 - Reward: -114.42 - Epsilon: 0.010
2025-02-20 19:42:23,231 - src.utils.logger - INFO - Episode 18/100 - Reward: -112.59 - Epsilon: 0.010
2025-02-20 19:42:30,492 - src.utils.logger - INFO - Episode 19/100 - Reward: -126.10 - Epsilon: 0.010
2025-02-20 19:42:37,123 - src.utils.logger - INFO - Episode 20/100 - Reward: -114.90 - Epsilon: 0.010
2025-02-20 19:42:42,627 - src.utils.logger - INFO - Episode 21/100 - Reward: -118.82 - Epsilon: 0.010
2025-02-20 19:42:42,628 - src.utils.logger - INFO - Updated target network at episode 21
2025-02-20 19:42:47,421 - src.utils.logger - INFO - Episode 22/100 - Reward: -148.06 - Epsilon: 0.010
2025-02-20 19:42:52,183 - src.utils.logger - INFO - Episode 23/100 - Reward: -107.85 - Epsilon: 0.010
2025-02-20 19:42:56,679 - src.utils.logger - INFO - Episode 24/100 - Reward: -166.15 - Epsilon: 0.010
2025-02-20 19:43:02,847 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:43:02,847 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:43:02,847 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:43:02,879 - src.utils.logger - INFO - Retrieved 2 threat patterns and 298 attack techniques
2025-02-20 19:43:02,879 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:43:02,885 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:43:02,900 - src.utils.logger - INFO - Creating feature vector...
2025-02-20 19:43:02,905 - src.utils.logger - INFO - Feature vector dimension: 8
2025-02-20 19:43:02,905 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:43:02,905 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:43:03,815 - src.utils.logger - INFO - Training environment setup completed successfully
2025-02-20 19:43:03,816 - src.utils.logger - INFO - Beginning training loop with 100 episodes...
2025-02-20 19:43:06,760 - src.utils.logger - INFO - Episode 1/100 - Reward: -127.67 - Epsilon: 0.010
2025-02-20 19:43:06,761 - src.utils.logger - INFO - Updated target network at episode 1
2025-02-20 19:43:11,419 - src.utils.logger - INFO - Starting main training process...
2025-02-20 19:43:11,419 - src.utils.logger - INFO - Starting training environment setup...
2025-02-20 19:43:11,419 - src.utils.logger - INFO - Loading data from CSV: attached_assets/export300.csv
2025-02-20 19:43:11,465 - src.utils.logger - INFO - Retrieved 2 threat patterns and 298 attack techniques
2025-02-20 19:43:11,465 - src.utils.logger - INFO - Processing CVE data...
2025-02-20 19:43:11,471 - src.utils.logger - INFO - Processing attack data...
2025-02-20 19:43:11,487 - src.utils.logger - INFO - Creating feature vector...
2025-02-20 19:43:11,491 - src.utils.logger - INFO - Feature vector dimension: 8
2025-02-20 19:43:11,491 - src.utils.logger - INFO - Initializing environment...
2025-02-20 19:43:11,492 - src.utils.logger - INFO - Initializing RL agent...
2025-02-20 19:43:12,499 - src.utils.logger - INFO - Training environment setup completed successfully
2025-02-20 19:43:12,500 - src.utils.logger - INFO - Beginning training loop with 100 episodes...
2025-02-20 19:43:15,146 - src.utils.logger - INFO - Episode 1/100 - Reward: -129.15 - Epsilon: 0.010
2025-02-20 19:43:15,147 - src.utils.logger - INFO - Updated target network at episode 1
2025-02-20 19:43:21,785 - src.utils.logger - INFO - Episode 2/100 - Reward: -135.20 - Epsilon: 0.010
2025-02-20 19:43:26,240 - src.utils.logger - INFO - Episode 3/100 - Reward: -145.38 - Epsilon: 0.010
2025-02-20 19:43:28,517 - src.utils.logger - INFO - Episode 4/100 - Reward: -126.54 - Epsilon: 0.010
2025-02-20 19:43:31,119 - src.utils.logger - INFO - Episode 5/100 - Reward: -118.00 - Epsilon: 0.010
2025-02-20 19:43:34,008 - src.utils.logger - INFO - Episode 6/100 - Reward: -116.31 - Epsilon: 0.010
2025-02-20 19:43:36,669 - src.utils.logger - INFO - Episode 7/100 - Reward: -103.60 - Epsilon: 0.010
2025-02-20 19:43:39,138 - src.utils.logger - INFO - Episode 8/100 - Reward: -252.40 - Epsilon: 0.010
2025-02-20 19:43:41,913 - src.utils.logger - INFO - Episode 9/100 - Reward: -218.28 - Epsilon: 0.010
2025-02-20 19:43:44,074 - src.utils.logger - INFO - Episode 10/100 - Reward: -131.89 - Epsilon: 0.010
2025-02-20 19:43:46,319 - src.utils.logger - INFO - Episode 11/100 - Reward: -103.92 - Epsilon: 0.010
2025-02-20 19:43:46,319 - src.utils.logger - INFO - Updated target network at episode 11
2025-02-20 19:43:48,803 - src.utils.logger - INFO - Episode 12/100 - Reward: -117.80 - Epsilon: 0.010
2025-02-20 19:43:54,246 - src.utils.logger - INFO - Episode 13/100 - Reward: -121.31 - Epsilon: 0.010
2025-02-20 19:43:57,394 - src.utils.logger - INFO - Episode 14/100 - Reward: -180.70 - Epsilon: 0.010
2025-02-20 19:43:59,683 - src.utils.logger - INFO - Episode 15/100 - Reward: -26.90 - Epsilon: 0.010
2025-02-20 19:44:02,012 - src.utils.logger - INFO - Episode 16/100 - Reward: -104.05 - Epsilon: 0.010
2025-02-20 19:44:04,377 - src.utils.logger - INFO - Episode 17/100 - Reward: -163.65 - Epsilon: 0.010
2025-02-20 19:44:06,565 - src.utils.logger - INFO - Episode 18/100 - Reward: -106.19 - Epsilon: 0.010
2025-02-20 19:44:09,589 - src.utils.logger - INFO - Episode 19/100 - Reward: -109.78 - Epsilon: 0.010
2025-02-20 19:44:12,016 - src.utils.logger - INFO - Episode 20/100 - Reward: -209.41 - Epsilon: 0.010
2025-02-20 19:44:14,860 - src.utils.logger - INFO - Episode 21/100 - Reward: -168.32 - Epsilon: 0.010
2025-02-20 19:44:14,862 - src.utils.logger - INFO - Updated target network at episode 21
2025-02-20 19:44:17,398 - src.utils.logger - INFO - Episode 22/100 - Reward: -58.58 - Epsilon: 0.010
